text,label,clean_text
Hash0 could benefit from unit tests of critical functions.,Support - Recommendation,hash0 could benefit from unit tests of critical functions
Sensitive data transmitted over HTTP allowed an attacker on the same network to capture login details.,Exploitation,sensitive data transmitted over http allowed an attacker on the same network to capture login details
"* Connected to api.gotinder.com (54.236.172.128) port 443 (#0)
* SSL connection using DHE-RSA-AES256-SHA
* SSL certificate verify ok.
> POST /user/matches/333333333333333333333333 HTTP/1.1
> User-Agent: Tinder Android Version 2.0.1
> Host: api.gotinder.com
> X-Auth-Token: 99999999-8888-7777-6666-555555555555
> Content-Type: application/json; charset=utf-8
> Accept-Encoding: gzip
> Content-Length: 34

* upload completely sent off: 34 out of 34 bytes
< HTTP/1.1 200 OK
< Content-Type: application/json; charset=utf-8
{
  ""created_date"": ""2013-12-09T10:00:00.000Z"",
  ""from"": ""aaaaaaaaaaaaaaaaaaaaaaaa"",
  ""to"": ""bbbbbbbbbbbbbbbbbbbbbbbb"",
  ""message"": ""Tinder testbericht 3""
}",Exploitation,connected to apigotindercom 54236172128 port 443 0 ssl connection using dhersaaes256sha ssl certificate verify ok post usermatches333333333333333333333333 http11 useragent tinder android version 201 host apigotindercom xauthtoken 99999999888877776666555555555555 contenttype applicationjson charsetutf8 acceptencoding gzip contentlength 34 upload completely sent off 34 out of 34 bytes http11 200 ok contenttype applicationjson charsetutf8 created_date 20131209t100000000z from aaaaaaaaaaaaaaaaaaaaaaaa to bbbbbbbbbbbbbbbbbbbbbbbb message tinder testbericht 3
"The application checked for file existence before write, but the file was replaced in the interim.",Implementation Flaw,the application checked for file existence before write but the file was replaced in the interim
4.2.4 Replay attacks . . . . . . . . . . . . . . . . . . . . . . 9,Formatting,424 replay attacks 9
The organization permits password sharing among employees for convenience. This practice violates standard security policy and increases the risk of credential misuse.,Policy,the organization permits password sharing among employees for convenience this practice violates standard security policy and increases the risk of credential misuse
## Methodologies,Formatting,methodologies
"System scan revealed multiple init scripts owned by root but writable by the www-data web server user, allowing escalation via script injection.",Privilege Escalation,system scan revealed multiple init scripts owned by root but writable by the wwwdata web server user allowing escalation via script injection
Tinder uses several libraries which appear to have code enabling network connectivity. These libraries may provide a channel from which information may be obtained. The libraries found are: Apphance5 Usage analysis and user feedback syndication. Crittercism6 Analytics and trend development. Facebook7 User authentication. Kontagent8 Analytics and trend development. Volley9 Android networking library.,Discovery,tinder uses several libraries which appear to have code enabling network connectivity these libraries may provide a channel from which information may be obtained the libraries found are apphance5 usage analysis and user feedback syndication crittercism6 analytics and trend development facebook7 user authentication kontagent8 analytics and trend development volley9 android networking library
"The mobile app stored long-lived Facebook access tokens in plaintext local storage. These tokens were sent with each request, and due to CORS misconfiguration, a malicious site could potentially steal them via cross-site scripting.",Credential Access,the mobile app stored longlived facebook access tokens in plaintext local storage these tokens were sent with each request and due to cors misconfiguration a malicious site could potentially steal them via crosssite scripting
